Sex,Account.Balance,Duration.of.Credit..month.,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Age..years.,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Telephone,Foreign.Worker,Marital.Status,Creditability,Logistic Regression,Logistic Regression (Bad),Logistic Regression (Good)
Female,No Account,6.0,Existing Paid,Car(New),672.0,< 100 EU,Unemployed,< 20%,None,> 7 Years,Real Estate,54.0,None,Own,1,Unemployed Non-resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.04757540528679127,0.9524245947132087
Male,No Account,36.0,Critical Account,Car(Used),5711.0,>= 1000 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,38.0,None,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.027972910847588905,0.9720270891524111
Female,No Account,24.0,Existing Paid,Radio/Television,5943.0,Unknown,< 1 Year,< 20%,None,< 1 Year,Car or Other,44.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.05910158829839651,0.9408984117016035
Male,0 <= ... < 200 EU,18.0,Existing Paid,Car(Used),2779.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Car or Other,21.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.22571632247364426,0.7742836775263557
Female,< 0 EU,18.0,None Taken,Furniture/Equipment,3114.0,< 100 EU,< 1 Year,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,26.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.6910405656393439,0.30895943436065604
Male,No Account,24.0,Existing Paid,Retraining,937.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,27.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.3198307809507279,0.6801692190492721
Male,0 <= ... < 200 EU,6.0,Existing Paid,Radio/Television,484.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,Guarantor,4 - 7 Years,Real Estate,28.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.14015800494094166,0.8598419950590583
Male,0 <= ... < 200 EU,21.0,Critical Account,Business,3652.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.2024884777727496,0.7975115222272504
Male,No Account,24.0,Critical Account,Car(Used),2346.0,< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,35.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.023462804472075716,0.9765371955279243
Male,No Account,15.0,Existing Paid,Car(Used),3029.0,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,33.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.029912514400448953,0.970087485599551
Male,0 <= ... < 200 EU,9.0,Existing Paid,Radio/Television,1082.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,37.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.42897049818666566,0.5710295018133343
Male,< 0 EU,12.0,Existing Paid,Radio/Television,2214.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,24.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Single,Good,Good,0.450599742230098,0.549400257769902
Female,No Account,9.0,Existing Paid,Furniture/Equipment,1980.0,< 100 EU,< 1 Year,20% - 25%,Co-Applicant,1 - 4 Years,Car or Other,19.0,None,Rent,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5139329933759642,0.48606700662403574
Male,0 <= ... < 200 EU,18.0,Delay Paid,Furniture/Equipment,4297.0,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,40.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.34205102320506675,0.6579489767949332
Female,No Account,9.0,Existing Paid,Furniture/Equipment,2301.0,100 <= ... < 500 EU,< 1 Year,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,22.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.18577200626337897,0.814227993736621
Female,No Account,15.0,Critical Account,Radio/Television,1459.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,43.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.05555723246974564,0.9444427675302544
Female,0 <= ... < 200 EU,12.0,Existing Paid,Car(New),1295.0,< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Car or Other,25.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.7563738785705068,0.24362612142949328
Female,0 <= ... < 200 EU,9.0,Existing Paid,Car(New),3195.0,Unknown,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,33.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.21813868452312835,0.7818613154768717
Male,No Account,24.0,Critical Account,Other,6314.0,< 100 EU,Unemployed,> 35%,Co-Applicant,1 - 4 Years,Unknown,27.0,Bank,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.295550228507814,0.704449771492186
Male,>= 200 EU,30.0,Delay Paid,Business,1908.0,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,66.0,None,Own,1,Highly Qualified,< 3,Registered,Yes,Single,Bad,Good,0.06402284957201732,0.9359771504279827
Male,No Account,24.0,Critical Account,Radio/Television,2223.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,52.0,Bank,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Good,Good,0.10083233544265546,0.8991676645573445
Female,< 0 EU,6.0,Existing Paid,Car(Used),1352.0,500 <= ... < 1000 EU,Unemployed,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,23.0,None,Rent,1,Unemployed Non-resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.20692448502452865,0.7930755149754714
Male,< 0 EU,20.0,Critical Account,Car(New),2235.0,< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Savings Agreement/Life Insurance,33.0,Bank,Rent,2 or 3,Skilled Official,< 3,None,No,Divorced/Separated/Married,Bad,Good,0.4011562728385565,0.5988437271614435
Female,< 0 EU,12.0,All Paid,Radio/Television,626.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,24.0,Bank,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Bad,Bad,0.5539595712817611,0.44604042871823896
Female,No Account,6.0,Critical Account,Radio/Television,1382.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Car or Other,28.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.01590449910058145,0.9840955008994186
Female,No Account,18.0,Critical Account,Car(New),1028.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,36.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.18367615680204785,0.8163238431979521
Male,>= 200 EU,36.0,Existing Paid,Radio/Television,4210.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.4481344170739041,0.5518655829260959
Male,No Account,30.0,Critical Account,Radio/Television,5954.0,< 100 EU,4 <= ... < 7 Years,25% - 35%,Co-Applicant,1 - 4 Years,Car or Other,38.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.08813370451369029,0.9118662954863097
Male,< 0 EU,14.0,Existing Paid,Car(New),3973.0,< 100 EU,Unemployed,< 20%,None,> 7 Years,Unknown,22.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.6197648021803659,0.3802351978196341
Male,No Account,12.0,Existing Paid,Furniture/Equipment,1574.0,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,50.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.06345661923035151,0.9365433807696485
Male,No Account,36.0,Existing Paid,Business,5742.0,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,31.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.11786609149151817,0.8821339085084818
Female,0 <= ... < 200 EU,11.0,Existing Paid,Furniture/Equipment,1577.0,>= 1000 EU,< 1 Year,> 35%,None,< 1 Year,Real Estate,20.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.157526466114857,0.842473533885143
Female,No Account,6.0,Critical Account,Car(New),362.0,100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,52.0,None,Own,2 or 3,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.06931448709726595,0.930685512902734
Female,< 0 EU,24.0,Existing Paid,Car(Used),2812.0,Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,26.0,None,Rent,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.23395435914461649,0.7660456408553835
Male,>= 200 EU,24.0,Existing Paid,Furniture/Equipment,1925.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,26.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.15553164357676397,0.844468356423236
Male,< 0 EU,36.0,Existing Paid,Car(Used),8335.0,Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,47.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.42971750677057297,0.570282493229427
Female,0 <= ... < 200 EU,18.0,None Taken,Furniture/Equipment,3244.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Car or Other,33.0,Bank,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.4792621647509765,0.5207378352490235
Male,No Account,6.0,Critical Account,Car(New),6761.0,< 100 EU,4 <= ... < 7 Years,< 20%,None,4 - 7 Years,Unknown,45.0,None,Own,2 or 3,Highly Qualified,>= 3,Registered,Yes,Single,Good,Good,0.12410377498405889,0.8758962250159411
Male,No Account,24.0,Existing Paid,Car(New),7393.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,43.0,None,Own,1,Unskilled Resident,>= 3,None,Yes,Single,Good,Good,0.26655868803116656,0.7334413119688334
Female,< 0 EU,20.0,Critical Account,Furniture/Equipment,4272.0,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,24.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.37676954466926726,0.6232304553307327
Male,< 0 EU,48.0,None Taken,Furniture/Equipment,7119.0,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Unknown,53.0,None,For Free,2 or 3,Skilled Official,>= 3,None,Yes,Single,Bad,Bad,0.9106235580272476,0.08937644197275245
Male,No Account,24.0,Existing Paid,Car(Used),9277.0,Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Unknown,48.0,None,For Free,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.025168423329638867,0.9748315766703611
Male,No Account,24.0,Critical Account,Business,4139.0,100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,27.0,None,Own,2 or 3,Unskilled Resident,< 3,Registered,Yes,Single,Good,Good,0.07696160011718334,0.9230383998828167
Male,0 <= ... < 200 EU,45.0,Critical Account,Car(Used),4576.0,100 <= ... < 500 EU,Unemployed,25% - 35%,None,> 7 Years,Car or Other,27.0,None,Own,1,Skilled Official,< 3,None,Yes,Single,Good,Good,0.14737563424180156,0.8526243657581984
Male,< 0 EU,10.0,Critical Account,Car(New),1038.0,< 100 EU,4 <= ... < 7 Years,> 35%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,49.0,None,Own,2 or 3,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.290852168551444,0.709147831448556
Female,< 0 EU,33.0,Critical Account,Furniture/Equipment,4281.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Car or Other,23.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Bad,Good,0.2774453998449157,0.7225546001550843
Female,No Account,11.0,Critical Account,Radio/Television,1154.0,100 <= ... < 500 EU,Unemployed,> 35%,None,> 7 Years,Real Estate,57.0,None,Own,4 or 5,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.022928776900778214,0.9770712230992218
Female,No Account,36.0,Existing Paid,Radio/Television,3835.0,Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,45.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.03997960962680169,0.9600203903731983
Male,No Account,12.0,Existing Paid,Car(Used),2445.0,Unknown,< 1 Year,20% - 25%,None,> 7 Years,Car or Other,26.0,None,Rent,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.02433387545592136,0.9756661245440786
Male,< 0 EU,12.0,Existing Paid,Radio/Television,727.0,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Unknown,33.0,None,Own,1,Unskilled Resident,< 3,Registered,Yes,Divorced/Separated/Married,Bad,Good,0.48219161672365307,0.5178083832763469
Female,0 <= ... < 200 EU,12.0,Existing Paid,Business,841.0,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,23.0,None,Rent,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.2131612613881062,0.7868387386118938
Male,0 <= ... < 200 EU,18.0,Delay Paid,Car(New),2899.0,Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,43.0,None,Own,1,Skilled Official,>= 3,None,Yes,Single,Good,Good,0.3208632590223841,0.6791367409776159
Male,0 <= ... < 200 EU,24.0,Existing Paid,Furniture/Equipment,3069.0,100 <= ... < 500 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,30.0,None,For Free,1,Skilled Official,< 3,None,Yes,Single,Good,Bad,0.5268671811078747,0.47313281889212533
Male,< 0 EU,12.0,Existing Paid,Furniture/Equipment,2577.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,< 1 Year,Car or Other,42.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.13078750143483264,0.8692124985651674
Female,0 <= ... < 200 EU,12.0,Critical Account,Radio/Television,3573.0,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Real Estate,23.0,None,Own,1,Unskilled Resident,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.05324374385275599,0.946756256147244
Female,No Account,12.0,Existing Paid,Radio/Television,2171.0,< 100 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Car or Other,29.0,Bank,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.28036777775160293,0.7196322222483971
Male,0 <= ... < 200 EU,18.0,Critical Account,Furniture/Equipment,7374.0,< 100 EU,Unemployed,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,40.0,Stores,Own,2 or 3,Highly Qualified,< 3,Registered,Yes,Single,Good,Good,0.20059148779664593,0.7994085122033541
Female,< 0 EU,10.0,Critical Account,Furniture/Equipment,2132.0,Unknown,< 1 Year,20% - 25%,Co-Applicant,4 - 7 Years,Real Estate,27.0,None,Rent,2 or 3,Skilled Official,< 3,None,No,Divorced/Separated/Married,Good,Good,0.18953894810558147,0.8104610518944185
Male,>= 200 EU,36.0,Existing Paid,Radio/Television,3919.0,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,23.0,None,Own,1,Skilled Official,< 3,Registered,Yes,Single,Good,Good,0.17579538383210913,0.8242046161678909
Male,No Account,6.0,Existing Paid,Appliances,1338.0,500 <= ... < 1000 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Real Estate,62.0,None,Own,1,Skilled Official,< 3,None,Yes,Divorced/Separated/Married,Good,Good,0.02441249288958036,0.9755875071104196
Male,No Account,24.0,Existing Paid,Radio/Television,3621.0,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Car or Other,31.0,None,Own,2 or 3,Skilled Official,< 3,None,Yes,Single,Bad,Good,0.1529213875471206,0.8470786124528794
Female,No Account,24.0,Existing Paid,Radio/Television,1533.0,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,38.0,Stores,Own,1,Skilled Official,< 3,Registered,Yes,Divorced/Separated/Married,Good,Good,0.283423847324514,0.716576152675486
Male,< 0 EU,9.0,Critical Account,Repairs,1288.0,100 <= ... < 500 EU,>= 7 Years,25% - 35%,Guarantor,> 7 Years,Real Estate,48.0,None,Own,2 or 3,Skilled Official,>= 3,None,No,Single,Good,Good,0.06334475375758031,0.9366552462424197
