Account.Balance,Sex,Payment.Status.of.Previous.Credit,Purpose,Value.Savings.Stocks,Length.of.current.employment,Instalment.per.cent,Guarantors,Duration.in.Current.address,Most.valuable.available.asset,Concurrent.Credits,Type.of.apartment,No.of.Credits.at.this.Bank,Occupation,No.of.dependents,Marital.Status,Duration.of.Credit..month.,Credit.Amount,Age..years.,Telephone,Foreign.Worker,Creditability,ID,Random Forest,Random Forest (Bad),Random Forest (Good)
No Account,Female,Existing Paid,Car(New),< 100 EU,Unemployed,< 20%,None,> 7 Years,Real Estate,None,Own,1,Unemployed Non-resident,< 3,Divorced/Separated/Married,6.0,672.0,54.0,Registered,Yes,Good,767.0,Good,0.1392857142857143,0.8607142857142858
No Account,Male,Critical Account,Car(Used),>= 1000 EU,>= 7 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Highly Qualified,< 3,Single,36.0,5711.0,38.0,Registered,Yes,Good,732.0,Good,0.0,1.0
No Account,Female,Existing Paid,Radio/Television,Unknown,< 1 Year,< 20%,None,< 1 Year,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,24.0,5943.0,44.0,Registered,Yes,Bad,741.0,Good,0.34833333333333333,0.6516666666666666
0 <= ... < 200 EU,Male,Existing Paid,Car(Used),< 100 EU,1 <= ... < 4 Years,< 20%,None,4 - 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,2779.0,21.0,Registered,Yes,Good,882.0,Good,0.25,0.75
< 0 EU,Female,None Taken,Furniture/Equipment,< 100 EU,< 1 Year,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,18.0,3114.0,26.0,None,Yes,Bad,709.0,Good,0.48103896103896104,0.518961038961039
No Account,Male,Existing Paid,Retraining,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,None,Own,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,24.0,937.0,27.0,None,Yes,Good,859.0,Good,0.05,0.95
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,4 <= ... < 7 Years,25% - 35%,Guarantor,4 - 7 Years,Real Estate,Bank,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,484.0,28.0,None,Yes,Good,693.0,Good,0.19166666666666665,0.8083333333333333
0 <= ... < 200 EU,Male,Critical Account,Business,< 100 EU,4 <= ... < 7 Years,20% - 25%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,21.0,3652.0,27.0,None,Yes,Good,156.0,Good,0.14714285714285716,0.8528571428571429
No Account,Male,Critical Account,Car(Used),< 100 EU,4 <= ... < 7 Years,> 35%,None,4 - 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,2346.0,35.0,Registered,Yes,Good,936.0,Good,0.0,1.0
No Account,Male,Existing Paid,Car(Used),< 100 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,15.0,3029.0,33.0,None,Yes,Good,196.0,Good,0.08333333333333334,0.9166666666666667
0 <= ... < 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Unskilled Resident,< 3,Single,9.0,1082.0,37.0,None,Yes,Good,876.0,Good,0.095,0.905
< 0 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,< 3,Single,12.0,2214.0,24.0,None,Yes,Good,308.0,Good,0.195,0.805
No Account,Female,Existing Paid,Furniture/Equipment,< 100 EU,< 1 Year,20% - 25%,Co-Applicant,1 - 4 Years,Car or Other,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,9.0,1980.0,19.0,None,Yes,Bad,756.0,Bad,0.7290476190476189,0.27095238095238094
0 <= ... < 200 EU,Male,Delay Paid,Furniture/Equipment,< 100 EU,>= 7 Years,> 35%,None,4 - 7 Years,Unknown,None,Own,1,Highly Qualified,< 3,Divorced/Separated/Married,18.0,4297.0,40.0,Registered,Yes,Bad,322.0,Bad,0.638095238095238,0.36190476190476184
No Account,Female,Existing Paid,Furniture/Equipment,100 <= ... < 500 EU,< 1 Year,20% - 25%,None,> 7 Years,Savings Agreement/Life Insurance,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,9.0,2301.0,22.0,None,Yes,Good,167.0,Good,0.07396825396825397,0.926031746031746
No Account,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,15.0,1459.0,43.0,None,Yes,Good,662.0,Good,0.03333333333333333,0.9666666666666666
0 <= ... < 200 EU,Female,Existing Paid,Car(New),< 100 EU,< 1 Year,25% - 35%,None,< 1 Year,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,1295.0,25.0,None,Yes,Bad,199.0,Bad,0.7266666666666668,0.2733333333333333
0 <= ... < 200 EU,Female,Existing Paid,Car(New),Unknown,1 <= ... < 4 Years,< 20%,None,1 - 4 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,9.0,3195.0,33.0,None,Yes,Good,925.0,Good,0.33666666666666667,0.6633333333333333
No Account,Male,Critical Account,Other,< 100 EU,Unemployed,> 35%,Co-Applicant,1 - 4 Years,Unknown,Bank,Own,2 or 3,Highly Qualified,< 3,Single,24.0,6314.0,27.0,Registered,Yes,Good,908.0,Good,0.12,0.8800000000000001
>= 200 EU,Male,Delay Paid,Business,< 100 EU,>= 7 Years,> 35%,None,> 7 Years,Real Estate,None,Own,1,Highly Qualified,< 3,Single,30.0,1908.0,66.0,Registered,Yes,Bad,631.0,Bad,0.6599999999999999,0.33999999999999997
No Account,Male,Critical Account,Radio/Television,100 <= ... < 500 EU,>= 7 Years,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,Bank,Own,2 or 3,Skilled Official,< 3,Single,24.0,2223.0,52.0,None,Yes,Good,434.0,Good,0.057499999999999996,0.9425000000000001
< 0 EU,Female,Existing Paid,Car(Used),500 <= ... < 1000 EU,Unemployed,< 20%,None,1 - 4 Years,Savings Agreement/Life Insurance,None,Rent,1,Unemployed Non-resident,< 3,Divorced/Separated/Married,6.0,1352.0,23.0,Registered,Yes,Good,687.0,Good,0.37523809523809526,0.6247619047619046
< 0 EU,Male,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,Guarantor,1 - 4 Years,Savings Agreement/Life Insurance,Bank,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,20.0,2235.0,33.0,None,No,Bad,376.0,Bad,0.6842857142857143,0.3157142857142857
< 0 EU,Female,All Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Real Estate,Bank,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,626.0,24.0,None,Yes,Bad,177.0,Bad,0.5683333333333334,0.43166666666666664
No Account,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,6.0,1382.0,28.0,Registered,Yes,Good,781.0,Good,0.05,0.95
No Account,Female,Critical Account,Car(New),< 100 EU,1 <= ... < 4 Years,> 35%,None,4 - 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,1028.0,36.0,None,Yes,Good,588.0,Good,0.061111111111111116,0.9388888888888889
>= 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,36.0,4210.0,26.0,None,Yes,Bad,515.0,Bad,0.5707142857142857,0.42928571428571427
No Account,Male,Critical Account,Radio/Television,< 100 EU,4 <= ... < 7 Years,25% - 35%,Co-Applicant,1 - 4 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,30.0,5954.0,38.0,None,Yes,Good,380.0,Good,0.07142857142857142,0.9285714285714285
< 0 EU,Male,Existing Paid,Car(New),< 100 EU,Unemployed,< 20%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,14.0,3973.0,22.0,None,Yes,Good,188.0,Good,0.2166666666666667,0.7833333333333333
No Account,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,> 35%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,12.0,1574.0,50.0,None,Yes,Good,930.0,Good,0.07333333333333333,0.9266666666666665
No Account,Male,Existing Paid,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,1 - 4 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,36.0,5742.0,31.0,Registered,Yes,Good,525.0,Good,0.0875,0.9125
0 <= ... < 200 EU,Female,Existing Paid,Furniture/Equipment,>= 1000 EU,< 1 Year,> 35%,None,< 1 Year,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,11.0,1577.0,20.0,None,Yes,Good,620.0,Good,0.06916666666666667,0.9308333333333334
No Account,Female,Critical Account,Car(New),100 <= ... < 500 EU,1 <= ... < 4 Years,> 35%,None,> 7 Years,Car or Other,None,Own,2 or 3,Unskilled Resident,< 3,Divorced/Separated/Married,6.0,362.0,52.0,None,Yes,Good,922.0,Good,0.0811111111111111,0.918888888888889
< 0 EU,Female,Existing Paid,Car(Used),Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,2812.0,26.0,None,Yes,Good,833.0,Good,0.215,0.7849999999999999
>= 200 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,24.0,1925.0,26.0,None,Yes,Good,845.0,Good,0.25,0.75
< 0 EU,Male,Existing Paid,Car(Used),Unknown,>= 7 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,36.0,8335.0,47.0,None,Yes,Bad,345.0,Bad,0.7142857142857143,0.2857142857142857
0 <= ... < 200 EU,Female,None Taken,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Car or Other,Bank,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,18.0,3244.0,33.0,Registered,Yes,Good,835.0,Good,0.22000000000000003,0.78
No Account,Male,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,< 20%,None,4 - 7 Years,Unknown,None,Own,2 or 3,Highly Qualified,>= 3,Single,6.0,6761.0,45.0,Registered,Yes,Good,844.0,Good,0.13333333333333333,0.8666666666666668
No Account,Male,Existing Paid,Car(New),< 100 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,1,Unskilled Resident,>= 3,Single,24.0,7393.0,43.0,None,Yes,Good,654.0,Good,0.1683333333333333,0.8316666666666667
< 0 EU,Female,Critical Account,Furniture/Equipment,< 100 EU,>= 7 Years,< 20%,None,> 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,20.0,4272.0,24.0,None,Yes,Good,924.0,Good,0.11318181818181819,0.886818181818182
< 0 EU,Male,None Taken,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,25% - 35%,None,> 7 Years,Unknown,None,For Free,2 or 3,Skilled Official,>= 3,Single,48.0,7119.0,53.0,None,Yes,Bad,820.0,Bad,0.819047619047619,0.18095238095238092
No Account,Male,Existing Paid,Car(Used),Unknown,1 <= ... < 4 Years,20% - 25%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,9277.0,48.0,Registered,Yes,Good,923.0,Good,0.15,0.85
No Account,Male,Critical Account,Business,100 <= ... < 500 EU,1 <= ... < 4 Years,25% - 35%,None,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Unskilled Resident,< 3,Single,24.0,4139.0,27.0,Registered,Yes,Good,313.0,Good,0.14250000000000002,0.8574999999999999
0 <= ... < 200 EU,Male,Critical Account,Car(Used),100 <= ... < 500 EU,Unemployed,25% - 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,< 3,Single,45.0,4576.0,27.0,None,Yes,Good,902.0,Good,0.2,0.8
< 0 EU,Male,Critical Account,Car(New),< 100 EU,4 <= ... < 7 Years,> 35%,Co-Applicant,4 - 7 Years,Savings Agreement/Life Insurance,None,Own,2 or 3,Skilled Official,< 3,Single,10.0,1038.0,49.0,Registered,Yes,Good,303.0,Good,0.02,0.9800000000000001
< 0 EU,Female,Critical Account,Furniture/Equipment,500 <= ... < 1000 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,33.0,4281.0,23.0,None,Yes,Bad,708.0,Bad,0.6405555555555555,0.35944444444444446
No Account,Female,Critical Account,Radio/Television,100 <= ... < 500 EU,Unemployed,> 35%,None,> 7 Years,Real Estate,None,Own,4 or 5,Unskilled Resident,< 3,Divorced/Separated/Married,11.0,1154.0,57.0,None,Yes,Good,723.0,Good,0.0,1.0
No Account,Female,Existing Paid,Radio/Television,Unknown,>= 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,36.0,3835.0,45.0,Registered,Yes,Good,826.0,Good,0.14166666666666666,0.8583333333333332
No Account,Male,Existing Paid,Car(Used),Unknown,< 1 Year,20% - 25%,None,> 7 Years,Car or Other,None,Rent,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2445.0,26.0,Registered,Yes,Good,262.0,Good,0.08,0.9199999999999999
< 0 EU,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,< 1 Year,> 35%,None,4 - 7 Years,Unknown,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,727.0,33.0,Registered,Yes,Bad,377.0,Bad,0.7116666666666667,0.28833333333333333
0 <= ... < 200 EU,Female,Existing Paid,Business,100 <= ... < 500 EU,4 <= ... < 7 Years,20% - 25%,None,> 7 Years,Real Estate,None,Rent,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,841.0,23.0,None,Yes,Good,943.0,Good,0.03333333333333333,0.9666666666666668
0 <= ... < 200 EU,Male,Delay Paid,Car(New),Unknown,>= 7 Years,> 35%,None,> 7 Years,Car or Other,None,Own,1,Skilled Official,>= 3,Single,18.0,2899.0,43.0,None,Yes,Good,254.0,Good,0.15,0.85
0 <= ... < 200 EU,Male,Existing Paid,Furniture/Equipment,100 <= ... < 500 EU,>= 7 Years,> 35%,None,> 7 Years,Unknown,None,For Free,1,Skilled Official,< 3,Single,24.0,3069.0,30.0,None,Yes,Good,572.0,Good,0.16,0.8400000000000001
< 0 EU,Male,Existing Paid,Furniture/Equipment,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,< 1 Year,Car or Other,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2577.0,42.0,None,Yes,Good,570.0,Good,0.06,0.9400000000000001
0 <= ... < 200 EU,Female,Critical Account,Radio/Television,< 100 EU,1 <= ... < 4 Years,< 20%,None,< 1 Year,Real Estate,None,Own,1,Unskilled Resident,< 3,Divorced/Separated/Married,12.0,3573.0,23.0,None,Yes,Good,270.0,Good,0.12,0.8800000000000001
No Account,Female,Existing Paid,Radio/Television,< 100 EU,< 1 Year,20% - 25%,None,1 - 4 Years,Car or Other,Bank,Own,1,Skilled Official,< 3,Divorced/Separated/Married,12.0,2171.0,29.0,None,Yes,Good,204.0,Good,0.15833333333333335,0.8416666666666668
0 <= ... < 200 EU,Male,Critical Account,Furniture/Equipment,< 100 EU,Unemployed,> 35%,None,> 7 Years,Savings Agreement/Life Insurance,Stores,Own,2 or 3,Highly Qualified,< 3,Single,18.0,7374.0,40.0,Registered,Yes,Good,302.0,Good,0.1392857142857143,0.8607142857142858
< 0 EU,Female,Critical Account,Furniture/Equipment,Unknown,< 1 Year,20% - 25%,Co-Applicant,4 - 7 Years,Real Estate,None,Rent,2 or 3,Skilled Official,< 3,Divorced/Separated/Married,10.0,2132.0,27.0,None,No,Good,554.0,Good,0.24,0.76
>= 200 EU,Male,Existing Paid,Radio/Television,< 100 EU,1 <= ... < 4 Years,20% - 25%,None,1 - 4 Years,Real Estate,None,Own,1,Skilled Official,< 3,Single,36.0,3919.0,23.0,Registered,Yes,Good,904.0,Good,0.40499999999999997,0.595
No Account,Male,Existing Paid,Appliances,500 <= ... < 1000 EU,1 <= ... < 4 Years,< 20%,None,> 7 Years,Real Estate,None,Own,1,Skilled Official,< 3,Divorced/Separated/Married,6.0,1338.0,62.0,None,Yes,Good,358.0,Good,0.0,1.0
No Account,Male,Existing Paid,Radio/Television,100 <= ... < 500 EU,>= 7 Years,20% - 25%,None,> 7 Years,Car or Other,None,Own,2 or 3,Skilled Official,< 3,Single,24.0,3621.0,31.0,None,Yes,Bad,828.0,Good,0.2783333333333334,0.7216666666666667
No Account,Female,Existing Paid,Radio/Television,< 100 EU,< 1 Year,> 35%,None,4 - 7 Years,Car or Other,Stores,Own,1,Skilled Official,< 3,Divorced/Separated/Married,24.0,1533.0,38.0,Registered,Yes,Good,769.0,Good,0.06999999999999999,0.93
< 0 EU,Male,Critical Account,Repairs,100 <= ... < 500 EU,>= 7 Years,25% - 35%,Guarantor,> 7 Years,Real Estate,None,Own,2 or 3,Skilled Official,>= 3,Single,9.0,1288.0,48.0,None,No,Good,159.0,Good,0.05333333333333333,0.9466666666666667
